index_final,700d_specific,750d_specific,Niche Brand,Avg. Price Esitimate ,Editor,suspect for fake brand,Editors,Names_who_also_saw_this_in_other_lstgs
BD01,0,0,0,20,Shuying Wu,0,,
BD02,0,0,0,20,Yimin_Fu,0,,
BD03,0,0,0,35,,0,,
BD04,0,0,0,15,,0,,
BD05,0,0,0,25,Frank_Mei,0,,
BD06,0,1,0,15,yimin(xinyi),0,,
BJ01,0,0,0,55,xuncheng,0,,
BJ02,0,0,0,55,Yimin,0,,
BU01,0,0,0,15,Yimin_Fu,0,,
BU02,0,0,0,10,Frank_Mei,0,,
BU04,0,0,0,8,Sharon Li,0,,
BU05,0,0,0,15,Frank_Mei,0,,
BU06,0,0,0,10,Suyang Lu,0,,
BU07,0,0,0,10,,0,,
CC01,0,0,0,20,Juexiao&Sasha,0,,
CC02,0,0,0,25,Juexiao&Sasha,0,,
CC03,0,0,0,100,Juexiao&Sasha,0,,
CC04,0,0,0,55,Juexiao&Sasha,0,,
CC05,0,0,0,22,Juexiao&Sasha,0,,
CC06,0,0,0,35,Juexiao&Sasha,0,,
CC07,0,0,0,30,Juexiao&Sasha,0,,
CC08,0,0,0,50,Juexiao&Sasha,0,,
CC09,0,0,0,150,Juexiao&Sasha,0,,
CC10,0,0,0,240,Juexiao&Sasha,0,,
CC11,0,0,0,100,Juexiao&Sasha,0,,
CC12,0,0,0,100,Juexiao&Sasha,0,,
CC13,0,0,0,150,Juexiao&Sasha,0,,
CC14,0,0,0,230,Juexiao&Sasha,0,,
CC15,0,0,0,100,Juexiao&Sasha,0,,
CC16,0,0,0,50,Juexiao&Sasha,0,,
CC17,0,0,0,20,Juexiao&Sasha,0,,
CC18,0,0,0,70,Juexiao&Sasha,0,,
CC19,0,0,0,45,Juexiao&Sasha,0,,
CC20,0,0,0,40,Juexiao&Sasha,0,,
CC21,0,0,0,35,Juexiao&Sasha,0,,
CC22,0,0,0,50,Juexiao&Sasha,0,,
CC23,0,0,0,100,Juexiao&Sasha,0,,
CC24,0,0,0,20,Juexiao&Sasha,0,,
CC25,0,0,0,40,Juexiao&Sasha,0,,
CC26,0,0,0,55,Juexiao&Sasha,0,,
CC27,0,0,0,90,Juexiao&Sasha,0,,
CC29,0,0,0,28,Juexiao&Sasha,0,,
CC30,0,0,0,50,Juexiao&Sasha,1,,
CC31,0,0,0,50,Juexiao&Sasha,0,,
CC32,0,0,0,Unknown,Juexiao&Sasha,0,,
CC33,0,0,0,30,Juexiao&Sasha,0,,
CC38,0,0,0,30,Juexiao&Sasha,0,,
CC39,0,0,0,70,Juexiao&Sasha,0,,
CC40,0,0,0,100,Juexiao&Sasha,0,,
CC43,0,0,0,200,Juexiao&Sasha,0,,
CC44,0,0,0,280,Juexiao&Sasha,0,,
CC45,0,0,0,50,Juexiao&Sasha,0,,
CC46,0,0,0,62,Juexiao&Sasha,0,,
CC47,0,0,0,150,Juexiao&Sasha,0,,
CC51,0,0,0,300,Juexiao&Sasha,0,,
CC52,,,,,,0,,
CC53,,,,,,0,,
CC54,,,,,,0,,
CD01,0,0,0,80,Shuying Wu,0,,
CD02,0,0,0,30,Frank_Mei,0,,
CD03,0,0,0,50,Yimin_Fu,0,,
CD04,,,,,,0,,
CD05,,,,,,0,,
DC01,0,0,0,75,Yimin,0,,
DC02,0,0,0,100,Yukun_He,0,,
DC03,0,0,0,78,,0,,
DC04,0,0,0,180,,1,,
DC05,0,0,1,Unknown,,0,,
DC06,0,0,0,95,Yukun_He,0,,
DC07,0,0,0,60,Shuying Wu,0,,
DC08,0,0,0,70,Yukun_He,0,,
DC09,0,0,0,Unknown,Frank_Mei,0,,
DC10,0,0,0,60,Frank_Mei,0,,
DC11,0,0,0,110,,0,,
